Abreviatura,Nombre,URL,URL,vencida,Esta en wikidata,URL Wikidata
 3dmet	Three-Dimensional Structure Database of Natural Metabolites	 http://www.3dmet.dna.affrc.go.jp/	NO	SI	https://www.wikidata.org/wiki/Q23948774	
 hancestro	Human Ancestry Ontology	 https://github.com/EBISPOT/ancestro	NO	NO	por definir	
 hao	Hymenoptera Anatomy Ontology	 http://hymao.org	NO	NO	por definir	
 hcao	Human Cell Atlas Ontology	 https://www.humancellatlas.org	desconocido	NO	por definir	
 hcpcs	Healthcare Common Procedure Coding System	 https://www.cms.gov/Medicare/Coding/MedHCPCSGenInfo	desconocido	NO	por definir	
 hcvdb	Hepatitis C Virus Database	 http://euhcvdb.ibcp.fr/euHCVdb/	NO	NO	por definir	
 hdr	Homeodomain Research	 http://research.nhgri.nih.gov/apps/homeodomain/web/	NO	NO	por definir	
 hgmd	Human Gene Mutation Database	 http://www.hgmd.cf.ac.uk/ac/index.php	NO	NO	por definir	
 hgnc	HUGO Gene Nomenclature Committee	 https://www.genenames.org	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 hgnc.genefamily	HGNC Family	 http://www.genenames.org	SI	NO	por definir	
 hgnc.genegroup	HGNC Gene Group	 https://www.genenames.org	NO	NO	por definir	
 hgnc.symbol	HGNC Symbol	 https://www.genenames.org/	NO	NO	por definir	
 hinv.locus	H-InvDb Locus	 http://h-invitational.jp/hinv/ahg-db/index.jsp	NO	NO	por definir	
 hinv.protein	H-InvDb Protein	 http://h-invitational.jp/hinv/ahg-db/index.jsp	NO	NO	por definir	
 hinv.transcript	H-InvDb Transcript	 http://h-invitational.jp/hinv/ahg-db/index.jsp	NO	NO	por definir	
 hipsci	Human Induced Pluripotent Stem Cells Initiative	 http://www.hipsci.org	desconocido	NO	por definir	
 hivreagentprogram	NIH HIV Reagent Program	 https://www.hivreagentprogram.org/Home.aspx	desconocido	NO	por definir	
 hmdb	The Human Metabolome Database	 http://www.hmdb.ca/	NO	SI	https://www.wikidata.org/wiki/Q5937262	
 hms.lincs.compound	HMS LINCS Compound	 https://lincs.hms.harvard.edu/db/sm/	desconocido	NO	por definir	
 hog	Homologous Organ Groups	 https://bgee.org/bgee/bgee?page=documentation#sectionHomologyRelationships	desconocido	NO	por definir	
 hogenom	HOGENOM	 http://pbil.univ-lyon1.fr/databases/hogenom/	NO	NO	por definir	
 hom	HOMology	 https://github.com/BgeeDB/homology-ontology	NO	NO	por definir	
 homd.seq	HOMD Sequence Metainformation	 http://www.homd.org/index.php	NO	NO	por definir	
 homd.taxon	HOMD Taxonomy	 http://www.homd.org/index.php	NO	NO	por definir	
 homologene	NCBI HomoloGene Database	 https://www.ncbi.nlm.nih.gov/homologene/	NO	SI	https://www.wikidata.org/wiki/Q468215	
 horizon_discovery	Horizon Discovery cell line collection	 https://horizondiscovery.com/	desconocido	NO	por definir	
 hovergen	Homologous Vertebrate Genes Database	 http://pbil.univ-lyon1.fr/databases/hovergen.php	NO	NO	por definir	
 hp	Human Phenotype Ontology	 http://human-phenotype-ontology.github.io/	NO	SI	https://www.wikidata.org/wiki/Q17027854	
 hpa	Human Protein Atlas	 http://www.proteinatlas.org/	NO	NO	por definir	
 hpath	Histopathology Ontology	 https://github.com/Novartis/hpath	desconocido	NO	por definir	
 hpm.peptide	Human Proteome Map Peptide	 http://www.humanproteomemap.org/index.php	NO	NO	por definir	
 hpm.protein	Human Proteome Map Protein	 http://www.humanproteomemap.org/index.php	NO	NO	por definir	
 hprd	Human Protein Reference Database	 http://www.hprd.org/	NO	NO	por definir	
 hpscreg	Human Pluripotent Stem Cell Registry	 https://hpscreg.eu/	NO	NO	por definir	
 hsapdv	Human Developmental Stages Ontology	 https://github.com/obophenotype/developmental-stage-ontologies/wiki/HsapDv	NO	NO	por definir	
 hsdb	Hazardous Substances Data Bank	 https://pubchem.ncbi.nlm.nih.gov/source/hsdb	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 hso	Health Surveillance Ontology	 https://w3id.org/hso	NO	NO	por definir	
 hssp	HSSP	 http://swift.cmbi.kun.nl/swift/hssp/	NO	NO	por definir	
 htn	Hypertension Ontology	 https://github.com/aellenhicks/htn_owl	NO	NO	por definir	
 huge	Human Unidentified Gene-Encoded large proteins database	 http://www.kazusa.or.jp/huge/	NO	NO	por definir	
 iao	Information Artifact Ontology	 http://www.ontobee.org/ontology/IAO	NO	NO	por definir	
 icd10	International Classification of Diseases Version 10	 http://www.who.int/classifications/icd/en/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 icd10cm	International Classification of Diseases, Tenth Revision, Clinical Modification	 https://www.icd10data.com/ICD10CM	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 icd10pcs	International Classification of Diseases Version 10 - Procedure Coding System	 https://www.nlm.nih.gov/research/umls/sourcereleasedocs/current/ICD10PCS	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 icd11	International Classification of Diseases Version 11	 https://icd.who.int/	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 icd9	International Classification of Diseases 9th Revision	 https://www.cdc.gov/nchs/icd/icd9.htm	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 icd9cm	International Classification of Diseases, Ninth Revision, Clinical Modification	 https://www.cdc.gov/nchs/icd/icd9cm.htm	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 icdc	Integrated Climate Data Center	 https://caninecommons.cancer.gov/#/	NO	NO	por definir	
 icdo	The International Classification of Diseases for Oncology	 https://www.who.int/classifications/icd/adaptations/oncology/en/	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 iceberg.element	ICEberg element	 http://db-mml.sjtu.edu.cn/ICEberg/	NO	NO	por definir	
 iceberg.family	ICEberg family	 http://db-mml.sjtu.edu.cn/ICEberg/	NO	NO	por definir	
 iceo	Integrative and Conjugative Element Ontology	 https://github.com/ontoice/ICEO	NO	NO	por definir	
 iclc	Interlab Cell Line Collection	 http://www.iclc.it	desconocido	NO	por definir	
 ico	Informed Consent Ontology	 https://github.com/ICO-ontology/ICO	NO	NO	por definir	
 ideal	Intrinsically Disordered proteins with Extensive Annotations and Literature	 http://www.ideal.force.cs.is.nagoya-u.ac.jp/IDEAL/	NO	NO	por definir	
 ido	Infectious Disease Ontology Core	 https://www.ebi.ac.uk/ols/ontologies/ido	NO	NO	por definir	
 idocovid19	The COVID-19 Infectious Disease Ontology	 https://github.com/infectious-disease-ontology-extensions/ido-covid-19	desconocido	NO	por definir	
 idoden	Dengue Fever Ontology	 https://bioportal.bioontology.org/ontologies/IDODEN	desconocido	NO	por definir	
 idomal	Infection Disease Ontology Malaria	 https://www.vectorbase.org/ontology-browser	NO	NO	por definir	
 idoo	Identifiers.org Ontology	 http://registry.api.hq.identifiers.org/semanticApi/getRegistryOntology	NO	NO	por definir	
 idot	Identifiers.org Terms	 https://identifiers.org/	NO	NO	por definir	
 idr	Image Data Resource	 https://idr.openmicroscopy.org	NO	NO	por definir	
 iedb	Immune Epitope Database	 https://www.lji.org/	NO	NO	por definir	
 iev	Event (INOH pathway ontology)	 http://www.inoh.org	SI	NO	por definir	
 igrhcellid	Integrated Genomic Resources of human Cell Lines for Identification	 http://igrcid.ibms.sinica.edu.tw/cgi-bin/index.cgi	desconocido	NO	por definir	
 igsn	International GeoSample Number	 http://www.geosamples.org/	NO	NO	por definir	
 igsr	The International Genome Sample Resource	 https://www.internationalgenome.org/	desconocido	NO	por definir	
 ihw	International Histocompatibility Workshop cell lines	 https://www.fredhutch.org/en/research/institutes-networks-ircs/international-histocompatibility-working-group.html	desconocido	NO	por definir	
 imanis	Imanis Life Sciences cell line products	 https://www.imanislife.com/collections/cell-lines/	desconocido	NO	por definir	
 imdrf	International Medical Device Regulators Forum	 http://www.imdrf.org/	desconocido	NO	por definir	
 imex	International Molecular Exchange	 https://www.imexconsortium.org/	NO	NO	por definir	
 img.gene	Integrated Microbial Genomes Gene	 http://img.jgi.doe.gov/	NO	NO	por definir	
 img.taxon	Integrated Microbial Genomes Taxon	 http://img.jgi.doe.gov/	NO	NO	por definir	
 imgt.hla	IPD-IMGT/HLA - Human Leukocyte Antigen Sequence Database	 https://www.ebi.ac.uk/imgt/hla/allele.html	NO	NO	por definir	
 imgt.ligm	IMGT LIGM	 http://www.imgt.org/	NO	NO	por definir	
 imr	Molecule role (INOH Protein name/family name ontology)	 http://www.inoh.org	SI	NO	por definir	
 inchi	IUPAC International Chemical Identifier	 http://www.chemspider.com/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 inchikey	InChIKey	 http://www.chemspider.com/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 inhand	International Harmonization of Nomenclature and Diagnostic criteria	 https://www.goreni.org/gr3_nomenclature.php	desconocido	NO	por definir	
 inn	International Nonproprietary Names	 https://www.who.int/teams/health-product-and-policy-standards/inn	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 ino	Interaction Network Ontology	 https://github.com/INO-ontology/ino	NO	NO	por definir	
 insdc	Nucleotide Sequence Database	 https://www.ncbi.nlm.nih.gov/Genbank/	NO	NO	por definir	
 insdc.cds	INSDC CDS	 http://getentry.ddbj.nig.ac.jp	NO	NO	por definir	
 insdc.gca	Genome assembly database	 https://www.ebi.ac.uk/ena/browse/genome-assembly-database	NO	NO	por definir	
 insdc.run	International Nucleotide Sequence Database Collaboration (INSDC) Run	 https://www.insdc.org/	desconocido	NO	por definir	
 insdc.sra	Sequence Read Archive	 https://www.ncbi.nlm.nih.gov/sra	NO	NO	por definir	
 intact	IntAct molecular interaction database	 https://www.ebi.ac.uk/intact/	NO	NO	por definir	
 intact.molecule	IntAct Molecule	 https://www.ebi.ac.uk/intact/	NO	NO	por definir	
 interlex	InterLex	 https://www.fdilab.org	NO	NO	por definir	
 interpro	Integrated resource of protein families, domains and functional sites	 https://www.ebi.ac.uk/interpro/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 ird.segment	IRD Segment Sequence	 http://www.fludb.org/	NO	NO	por definir	
 irefweb	Interaction Reference Index Web Interface	 http://wodaklab.org/iRefWeb/	NO	NO	por definir	
 iro	Insect Resistance Ontology	 URL no encontrado	SI	NO	por definir	
 isbn	ISBN	 http://isbndb.com/	NO	NO	por definir	
 isfinder	Insertion Sequence Finder	 http://www-is.biotoul.fr/i	NO	NO	por definir	
 isni	International Standard Name Identifier	 http://www.isni.org	NO	NO	por definir	
 issn	ISSN	 https://portal.issn.org	NO	NO	por definir	
 itis	Integrated Taxonomic Information System	 https://www.itis.gov/	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 ito	Intelligence Task Ontology	 https://bioportal.bioontology.org/	NO	NO	por definir	
 iuphar.family	IUPHAR family	 http://www.guidetopharmacology.org/	NO	NO	por definir	
 iuphar.ligand	IUPHAR ligand	 http://www.guidetopharmacology.org/GRAC/LigandListForward?database=all	NO	SI	https://www.wikidata.org/wiki/Q17091219	
 iuphar.receptor	IUPHAR receptor	 http://www.guidetopharmacology.org/targets.jsp	NO	SI	https://www.wikidata.org/wiki/Q17091219	
 jax	JAX Mice Database	 https://www.jax.org/strain	desconocido	NO	por definir	
 jaxmice	JAX Mice	 http://jaxmice.jax.org/	NO	NO	por definir	
 jcggdb	Japan Consortium for Glycobiology and Glycotechnology Database	 http://jcggdb.jp/index_en.html	NO	NO	por definir	
 jcm	Japan Collection of Microorganisms	 http://www.jcm.riken.go.jp/	NO	NO	por definir	
 jcrb	JRBC Cell Bank	 https://cellbank.nibiohn.go.jp	desconocido	NO	por definir	
 jcsd	Japan Chemical Substance Dictionary	 http://jglobal.jst.go.jp/en/	NO	NO	por definir	
 jstor	JSTOR	 http://www.jstor.org/	NO	NO	por definir	
 jws	JWS Online	 http://jjj.biochem.sun.ac.za/models/	NO	NO	por definir	
 kaggle	Kaggle	 https://kaggle.com	NO	NO	por definir	
 kclb	Korean Cell Line Bank	 https://cellbank.snu.ac.kr/english	desconocido	NO	por definir	
 kegg	Kyoto Encyclopedia of Genes and Genomes	 http://www.kegg.jp/	NO	NO	por definir	
 kegg.compound	KEGG Compound	 https://www.genome.jp/kegg/ligand.html	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 kegg.disease	KEGG Disease	 http://www.genome.jp/kegg/disease/	NO	NO	por definir	
 kegg.drug	KEGG Drug	 https://www.genome.jp/kegg/drug/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 kegg.environ	KEGG Environ	 http://www.genome.jp/kegg/drug/environ.html	NO	NO	por definir	
 kegg.enzyme	KEGG Enzyme	 http://www.genome.jp/dbget-bin/www_bfind?enzyme	desconocido	NO	por definir	
 kegg.genes	KEGG Genes	 http://www.genome.jp/kegg/genes.html	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 kegg.genome	KEGG Genome	 http://www.genome.jp/kegg/catalog/org_list.html	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 kegg.glycan	KEGG Glycan	 https://www.genome.jp/kegg/glycan/	NO	NO	por definir	
 kegg.ligand	KEGG LIGAND	 http://www.genome.ad.jp/kegg/docs/upd_ligand.html	SI	NO	por definir	
 kegg.metagenome	KEGG Metagenome	 http://www.genome.jp/kegg/catalog/org_list3.html	NO	NO	por definir	
 kegg.module	KEGG Module	 http://www.kegg.jp/kegg/module.html	NO	NO	por definir	
 kegg.orthology	KEGG Orthology	 http://www.genome.jp/kegg/ko.html	NO	NO	por definir	
 kegg.pathway	KEGG Pathway	 https://www.genome.jp/kegg/pathway.html	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 kegg.reaction	KEGG Reaction	 https://www.genome.jp/kegg/reaction/	NO	SI	https://www.wikidata.org/wiki/Q909442	
 kerafast	Kerafast cell lines	 https://www.kerafast.com/	desconocido	NO	por definir	
 knapsack	KNApSAcK	 http://www.knapsackfamily.com/KNApSAcK/	NO	SI	https://www.wikidata.org/wiki/Q20900436	
 kupo	Kidney and Urinary Pathway Ontology	 http://www.kupkb.org/	SI	NO	por definir	
 kyinno	KYinno cell lines	 https://www.kyinno.com/	desconocido	NO	por definir	
 labo	clinical LABoratory Ontology	 https://github.com/OpenLHS/LABO	NO	NO	por definir	
 lbo	Livestock Breed Ontology	 http://bioportal.bioontology.org/ontologies/LBO	desconocido	NO	por definir	
 lei	Global LEI Index	 https://www.gleif.org/	NO	NO	por definir	
 lepao	Lepidoptera Anatomy Ontology	 https://github.com/insect-morphology/lepao	NO	NO	por definir	
 lgai.cede	LG Chemical Entity Detection Dataset (LGCEDe)	 https://www.lgresearch.ai	NO	NO	por definir	
 lgic	Ligand-Gated Ion Channel database	 https://www.ebi.ac.uk/compneur-srv/LGICdb/LGICdb.php	NO	NO	por definir	
 licebase	LiceBase	 https://licebase.org	NO	NO	por definir	
 ligandbook	LigandBook	 https://ligandbook.org/	NO	NO	por definir	
 ligandbox	LigandBox	 http://www.mypresto5.com/ligandbox/cgi-bin/index.cgi?LANG=en	NO	NO	por definir	
 ligandexpo	Ligand Expo	 http://ligand-depot.rutgers.edu/index.html	NO	NO	por definir	
 ligea	Cancer cell LInes GEne fusions portAl	 http://hpc-bioinformatics.cineca.it/fusion/main	desconocido	NO	por definir	
 limore	Liver Cancer Model Repository	 https://www.picb.ac.cn/limore/home	desconocido	NO	por definir	
 lincs.cell	LINCS Cell	 http://lincsportal.ccs.miami.edu/cells/	NO	NO	por definir	
 lincs.data	LINCS Data	 http://lincsportal.ccs.miami.edu/datasets/	NO	NO	por definir	
 lincs.protein	LINCS Protein	 http://lincs.hms.harvard.edu/db/proteins/	NO	NO	por definir	
 lincs.smallmolecule	LINCS Small Molecule	 http://lincsportal.ccs.miami.edu/SmallMolecules/	NO	NO	por definir	
 linguist	Linguist	 https://github.com/	NO	NO	por definir	
 lipidbank	LipidBank	 http://lipidbank.jp/index.html	NO	NO	por definir	
 lipidmaps	LIPID MAPS	 http://www.lipidmaps.org	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 lipro	Lipid Ontology	 http://purl.obolibrary.org/obo/LIPRO_$1	SI	NO	por definir	
 lncipedia	LNCipedia	 https://lncipedia.org	desconocido	NO	por definir	
 loggerhead	Loggerhead nesting	 http://www.mesquiteproject.org/ontology/Loggerhead/index.html	SI	NO	por definir	
 loinc	Logical Observation Identifier Names and Codes	 https://loinc.org/	desconocido	NO	por definir	
 lonza	Lonza	 https://knowledge.lonza.com	desconocido	NO	por definir	
 lotus	LOTUS Initiative for Open Natural Products Research	 https://lotus.naturalproducts.net	desconocido	SI	https://www.wikidata.org/wiki/Q104225190	
 lrg	Locus Reference Genomic	 http://www.lrg-sequence.org/	NO	NO	por definir	
 lspci	Laboratory of Systems Pharmacology Compound ID	 https://labsyspharm.github.io/lspci/	desconocido	NO	por definir	
 lter	Long Term Ecological Research Controlled Vocabulary	 https://vocab.lternet.edu/vocab/vocab/index.php	desconocido	NO	por definir	
 ma	Mouse Adult Gross Anatomy Ontology	 http://www.informatics.jax.org/	NO	NO	por definir	
 macie	Mechanism, Annotation and Classification in Enzymes	 https://www.ebi.ac.uk/thornton-srv/databases/MACiE/index.html	NO	NO	por definir	
 maizegdb.locus	Maize Genetics and Genomics Database	 http://www.maizegdb.org/	NO	NO	por definir	
 mamo	Mathematical Modelling Ontology	 http://bioportal.bioontology.org/ontologies/MAMO	NO	NO	por definir	
 mao	Multiple alignment	 http://www-igbmc.u-strasbg.fr/BioInfo/MAO/mao.html	SI	NO	por definir	
 massbank	MassBank Europe	 http://www.massbank.jp	NO	SI	https://www.wikidata.org/wiki/Q24088019	
 massive	Mass Spectrometry Interactive Virtual Environment	 https://massive.ucsd.edu/ProteoSAFe/static/massive.jsp	NO	NO	por definir	
 mat	Minimal Anatomical Terminology	 http://purl.obolibrary.org/obo/MAT_$1	SI	NO	por definir	
 matrixdb	Extracellular Matrix Interaction Database	 http://matrixdb.univ-lyon1.fr/	desconocido	NO	por definir	
 matrixdb.association	MatrixDB Association	 http://matrixdb.univ-lyon1.fr/	NO	NO	por definir	
 maxo	Medical Action Ontology	 https://github.com/monarch-initiative/MAxO	NO	NO	por definir	
 mcc	Cell Line Ontology [derivative]	 URL no encontrado	SI	NO	por definir	
 mco	Microbial Conditions Ontology	 https://github.com/microbial-conditions-ontology/microbial-conditions-ontology	NO	NO	por definir	
 mdm	Medical Data Models	 https://medical-data-models.org/	NO	NO	por definir	
 meddra	Medical Dictionary for Regulatory Activities Terminology	 http://bioportal.bioontology.org/ontologies/MEDDRA	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 medgen	MedGen	 https://www.ncbi.nlm.nih.gov/medgen/	NO	NO	por definir	
 medlineplus	MedlinePlus Health Topics	 http://www.nlm.nih.gov/medlineplus/	NO	NO	por definir	
 merops	MEROPS	 http://merops.sanger.ac.uk/index.htm	NO	NO	por definir	
 merops.family	MEROPS Family	 http://merops.sanger.ac.uk/index.htm	NO	NO	por definir	
 merops.inhibitor	MEROPS Inhibitor	 http://merops.sanger.ac.uk/index.htm	NO	NO	por definir	
 mesh	Medical Subject Headings	 http://id.nlm.nih.gov/mesh/	NO	SI	https://www.wikidata.org/wiki/Q199897	
 mesh.2012	MeSH 2012	 http://www.nlm.nih.gov/mesh/	NO	NO	por definir	
 mesh.2013	MeSH 2013	 http://www.nlm.nih.gov/mesh/	NO	NO	por definir	
 metabolights	MetaboLights	 https://www.ebi.ac.uk/metabolights/	NO	SI	https://www.wikidata.org/wiki/Q24174701	
 metacyc.compound	MetaCyc	 https://metacyc.org	NO	NO	por definir	
 metacyc.reaction	MetaCyc Reaction	 https://metacyc.org	NO	NO	por definir	
 metanetx.chemical	MetaNetX chemical	 https://www.metanetx.org/	NO	NO	por definir	
 metanetx.compartment	MetaNetX compartment	 https://www.metanetx.org/	NO	NO	por definir	
 metanetx.reaction	MetaNetX reaction	 https://www.metanetx.org/	NO	NO	por definir	
 metlin	Metabolite and Tandem Mass Spectrometry Database	 http://masspec.scripps.edu/	NO	NO	por definir	
 mex	Metabolome Express	 https://www.metabolome-express.org/	NO	NO	por definir	
 mf	Mental Functioning Ontology	 https://github.com/jannahastings/mental-functioning-ontology	NO	NO	por definir	
 mfmo	Mammalian Feeding Muscle Ontology	 https://github.com/rdruzinsky/feedontology	NO	NO	por definir	
 mfo	Medaka Fish Anatomy and Development Ontology	 http://purl.obolibrary.org/obo/MFO_$1	SI	NO	por definir	
 mfoem	Emotion Ontology	 https://github.com/jannahastings/emotion-ontology	NO	NO	por definir	
 mfomd	MFO Mental Disease Ontology	 https://github.com/jannahastings/mental-functioning-ontology	NO	NO	por definir	
 mge	Aclame	 http://aclame.ulb.ac.be/	NO	NO	por definir	
 mgi	Mouse Genome Database - a Mouse Genome Informatics (MGI) Resource	 http://www.informatics.jax.org/	NO	SI	https://www.wikidata.org/wiki/Q1951035	
 mgnify.analysis	MGnify Analysis	 https://www.ebi.ac.uk/metagenomics/	desconocido	NO	por definir	
 mgnify.proj	MGnify Project	 https://www.ebi.ac.uk/metagenomics	NO	NO	por definir	
 mgnify.samp	MGnify Sample	 https://www.ebi.ac.uk/metagenomics	NO	NO	por definir	
 mi	Molecular Interactions Ontology	 https://www.ebi.ac.uk/ols/ontologies/mi	NO	NO	por definir	
 miaa	Minimal Information About Anatomy ontology	 same as MAT	SI	NO	por definir	
 miapa	Minimal Information About a Phylogenetic Analysis	 http://www.evoio.org/wiki/MIAPA	NO	NO	por definir	
 micro	Ontology of Prokaryotic Phenotypic and Metabolic Characters	 https://github.com/carrineblank/MicrO	NO	NO	por definir	
 microscope	Microbial Genome Annotation & Analysis Platform	 http://www.genoscope.cns.fr/agc/microscope	NO	NO	por definir	
 microsporidia	MicrosporidiaDB	 http://microsporidiadb.org/micro/	NO	NO	por definir	
 millipore	Merck Millipore (EMD Millipore)	 https://www.merckmillipore.com/	desconocido	NO	por definir	
 mim	Online Mendelian Inheritance in Man	 https://omim.org/	NO	SI	https://www.wikidata.org/wiki/Q241953	
 mim.ps	OMIM Phenotypic Series	 https://www.omim.org/phenotypicSeriesTitles/all	desconocido	NO	por definir	
 mimodb	Mimotope Database	 http://immunet.cn/bdb/	NO	NO	por definir	
 minid	Minimal Viable Identifier	 https://fair-research.org	NO	NO	por definir	
 minid.test	MINID Test	 https://fair-research.org	NO	NO	por definir	
 mint	Molecular INTeraction Database	 http://mint.bio.uniroma2.it/mint/	NO	NO	por definir	
 mipmod	MIPModDB	 http://bioinfo.iitk.ac.in/MIPModDB	NO	NO	por definir	
 mir	Identifiers.org Registry	 https://registry.identifiers.org/registry	NO	NO	por definir	
 mirbase	miRBase	 http://www.mirbase.org/	NO	SI	https://www.wikidata.org/wiki/Q6826947	
 mirbase.family	miRBase Families	 http://www.mirbase.org/	desconocido	SI	https://www.wikidata.org/wiki/Q6826947	
 mirbase.mature	miRBase mature sequence	 http://www.mirbase.org/	NO	SI	https://www.wikidata.org/wiki/Q6826947	
 mirex	mirEX	 http://comgen.pl/mirex/?page=home	NO	NO	por definir	
 miriam	Minimal Information Required In the Annotation of Models	 https://www.ebi.ac.uk	NO	NO	por definir	
 miriam.collection	MIRIAM Registry collection	 https://www.ebi.ac.uk/miriam/	SI	NO	por definir	
 miriam.resource	MIRIAM Registry resource	 https://www.ebi.ac.uk/miriam/	NO	NO	por definir	
 mirnao	MicroRNA Ontology	 http://code.google.com/p/mirna-ontology/	SI	NO	por definir	
 mirnest	miRNEST	 http://rhesus.amu.edu.pl/mirnest/copy/	NO	NO	por definir	
 miro	Mosquito Insecticide Resistance Ontology	 http://anobase.vectorbase.org	NO	NO	por definir	
 mirtarbase	miRTarBase	 http://mirtarbase.mbc.nctu.edu.tw/	NO	NO	por definir	
 mirte	miRNA Target Prediction at EMBL	 http://www.russelllab.org/miRNAs/	desconocido	NO	por definir	
 mlc	MLCommons Association	 https://mlcommons.org/en/	NO	NO	por definir	
 mmdb	Molecular Modeling Database	 http://www.ncbi.nlm.nih.gov/sites/entrez?db=structure	NO	NO	por definir	
 mmmp.biomaps	Melanoma Molecular Map Project Biomaps	 http://www.mmmp.org/MMMP/public/biomap/listBiomap.mmmp	NO	NO	por definir	
 mmo	Measurement Method Ontology	 https://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=MMO:0000000	NO	NO	por definir	
 mmp.cat	MarCat	 https://mmp.sfb.uit.no/databases/marcat/	NO	NO	por definir	
 mmp.db	MarDB	 https://mmp.sfb.uit.no/databases/mardb/	NO	NO	por definir	
 mmp.fun	MarFun	 https://mmp.sfb.uit.no/databases/marfun	NO	NO	por definir	
 mmp.ref	MarRef	 https://mmp.sfb.uit.no/databases/marref/	NO	NO	por definir	
 mmrrc	Mutant Mouse Resource and Research Centers	 http://www.mmrrc.org/	NO	NO	por definir	
 mmsl	Multum MediSource Lexicon	 https://www.nlm.nih.gov/research/umls/rxnorm/sourcereleasedocs/mmsl.html	desconocido	NO	por definir	
 mmusdv	Mouse Developmental Stages	 https://github.com/obophenotype/developmental-stage-ontologies/wiki/MmusDv	NO	NO	por definir	
 mo	MGED Ontology	 http://bioportal.bioontology.org/	NO	NO	por definir	
 mobidb	MobiDB	 https://mobidb.org/	NO	NO	por definir	
 mod	Protein Modification Ontology	 https://www.ebi.ac.uk/ols/ontologies/mod	NO	NO	por definir	
 modeldb	ModelDB	 http://senselab.med.yale.edu/ModelDB/	NO	NO	por definir	
 molbase	Molbase	 http://www.molbase.com/	NO	NO	por definir	
 molbase.sheffield	MolBase	 https://winter.group.shef.ac.uk/molbase/	SI	NO	por definir	
 molmedb	MolMeDB: Molecules on Membranes Database	 http://www.upol.cz/en/	NO	NO	por definir	
 mondo	Monarch Disease Ontology	 http://obofoundry.org/ontology/mondo.html	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 mop	Molecular Process Ontology	 https://github.com/rsc-ontologies/rxno	NO	NO	por definir	
 morpheus	Morpheus model repository	 https://morpheus.gitlab.io/	NO	NO	por definir	
 mp	Mammalian Phenotype Ontology	 http://www.informatics.jax.org/	NO	NO	por definir	
 mpath	Mouse PATHology	 http://www.pathbase.net	NO	NO	por definir	
 mpid	Microbial Protein Interaction Database	 http://www.jcvi.org/mpidb/about.php	NO	NO	por definir	
 mpio	Minimum PDDI Information Ontology	 https://github.com/MPIO-Developers/MPIO	NO	NO	por definir	
 mro	MHC Restriction Ontology	 https://github.com/IEDB/MRO	NO	NO	por definir	
 ms	Mass Spectrometry Controlled Vocabulary	 https://www.ebi.ac.uk/ols/ontologies/ms	NO	NO	por definir	
 msigdb	Molecular Signatures Database	 https://www.gsea-msigdb.org	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 msio	Metabolomics Standards Initiative Ontology	 https://github.com/MSI-Metabolomics-Standards-Initiative/MSIO	desconocido	NO	por definir	
 multicellds	MultiCellular Data Standard	 http://multicellds.org/MultiCellDB.php	desconocido	NO	por definir	
 multicellds.cell_line	MultiCellDS Digital Cell Line	 http://multicellds.org/MultiCellDB.php	NO	NO	por definir	
 multicellds.collection	MultiCellDS collection	 http://multicellds.org/MultiCellDB.php	NO	NO	por definir	
 multicellds.snapshot	MultiCellDS Digital snapshot	 http://multicellds.org/MultiCellDB.php	NO	NO	por definir	
 mw.project	Metabolomics Workbench Project	 http://www.metabolomicsworkbench.org/	NO	NO	por definir	
 mw.study	Metabolomics Workbench Study	 http://www.metabolomicsworkbench.org/	NO	NO	por definir	
 myco.lepra	MycoBrowser leprae	 http://mycobrowser.epfl.ch/leprosy.html	NO	NO	por definir	
 myco.marinum	MycoBrowser marinum	 http://mycobrowser.epfl.ch/marinolist.html	NO	NO	por definir	
